"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.151522826E1,6.868102833E1,2.766141667E1,1.329219925E2,1.166360497E0,2.247200012E2,1.600000024E0,1.060000038E1
4.251522826E1,6.868102000E1,2.766139833E1,1.329219840E2,1.221435785E0,2.139400024E2,1.600000024E0,1.050000000E1
4.351522826E1,6.868101167E1,2.766139000E1,1.330219880E2,1.231730223E0,1.948399963E2,1.600000024E0,1.089999962E1
4.451522826E1,6.868100167E1,2.766139167E1,1.332220074E2,1.222980022E0,1.948800049E2,1.700000048E0,1.160000038E1
4.551522826E1,6.868099000E1,2.766139000E1,1.336220254E2,1.212170839E0,1.889299927E2,1.700000048E0,1.130000019E1
4.651522826E1,6.868098000E1,2.766138000E1,1.338220302E2,1.189008355E0,1.981399994E2,1.700000048E0,1.150000000E1
4.751522826E1,6.868097167E1,2.766137167E1,1.340220342E2,1.164301634E0,2.055399933E2,1.700000048E0,1.160000038E1
4.851522826E1,6.868096000E1,2.766136000E1,1.343220397E2,1.169963598E0,1.939900055E2,1.600000024E0,1.180000019E1
4.951522826E1,6.868095167E1,2.766134667E1,1.344220375E2,1.181802273E0,2.105299988E2,1.600000024E0,1.219999981E1
5.051522826E1,6.868094333E1,2.766133167E1,1.346220331E2,1.169448853E0,1.987100067E2,1.600000024E0,1.160000038E1
5.151522826E1,6.868093333E1,2.766132500E1,1.345220420E2,1.160698652E0,1.817700043E2,1.600000024E0,1.200000000E1
5.251522826E1,6.868092500E1,2.766131667E1,1.345220460E2,1.112829447E0,1.962100067E2,1.600000024E0,1.250000000E1
5.351522826E1,6.868092167E1,2.766129833E1,1.344220289E2,1.087093353E0,2.278600006E2,1.600000024E0,1.169999981E1
5.451522826E1,6.868091500E1,2.766127500E1,1.343220113E2,1.076798916E0,2.263300018E2,1.600000024E0,1.210000038E1
5.551522826E1,6.868090833E1,2.766125667E1,1.341219999E2,1.041283011E0,2.215500031E2,1.700000048E0,1.230000019E1
5.651522826E1,6.868090167E1,2.766124833E1,1.342220010E2,9.769427776E-1,2.372500000E2,1.700000048E0,1.180000019E1
5.751522826E1,6.868089333E1,2.766123667E1,1.342220008E2,9.651041627E-1,2.108399963E2,1.700000048E0,1.160000038E1
5.851522826E1,6.868088333E1,2.766122667E1,1.343220056E2,9.512066841E-1,2.015500031E2,1.600000024E0,1.150000000E1
5.951522826E1,6.868086833E1,2.766121000E1,1.344220107E2,9.733397365E-1,1.913200073E2,1.600000024E0,1.150000000E1
6.051522826E1,6.868085500E1,2.766120333E1,1.344220253E2,9.805458188E-1,1.927299957E2,1.600000024E0,1.169999981E1
6.151522826E1,6.868084500E1,2.766119500E1,1.343220322E2,9.939286113E-1,1.925299988E2,1.600000024E0,1.239999962E1
6.251522826E1,6.868083500E1,2.766118333E1,1.342220349E2,1.018120527E0,2.005599976E2,1.600000024E0,1.239999962E1
6.351522826E1,6.868082500E1,2.766117333E1,1.343220396E2,1.042312503E0,1.962500000E2,1.700000048E0,1.269999981E1
6.451522826E1,6.868081667E1,2.766116167E1,1.343220395E2,1.044371367E0,2.146000061E2,1.700000048E0,1.269999981E1
6.551522826E1,6.868081000E1,2.766114667E1,1.343220322E2,1.035106421E0,2.147100067E2,1.600000024E0,1.280000019E1
6.651522826E1,6.868080500E1,2.766113500E1,1.343220263E2,1.056724668E0,2.130899963E2,1.600000024E0,1.300000000E1
6.751522826E1,6.868079833E1,2.766112833E1,1.341220295E2,1.019664764E0,1.806900024E2,1.600000024E0,1.339999962E1
6.851522826E1,6.868079167E1,2.766113833E1,1.341220535E2,9.692219496E-1,1.458300018E2,1.600000024E0,1.410000038E1
6.951522826E1,6.868078500E1,2.766115167E1,1.340220816E2,9.033374786E-1,1.348099976E2,1.600000024E0,1.500000000E1
7.051522826E1,6.868077833E1,2.766116667E1,1.338221118E2,8.523799777E-1,1.354299927E2,1.600000024E0,1.500000000E1
7.151522826E1,6.868077167E1,2.766118333E1,1.338221441E2,7.947311401E-1,1.355899963E2,1.600000024E0,1.539999962E1
7.251522826E1,6.868076667E1,2.766119833E1,1.339221715E2,7.648772001E-1,1.159899979E2,1.700000048E0,1.489999962E1
7.351522826E1,6.868076000E1,2.766121333E1,1.337222017E2,7.411999702E-1,1.251800003E2,1.600000024E0,1.550000000E1
7.451522826E1,6.868075333E1,2.766123333E1,1.334222382E2,7.453177571E-1,1.108199997E2,1.600000024E0,1.600000000E1
7.551522826E1,6.868074833E1,2.766125500E1,1.334222739E2,7.725980282E-1,1.124899979E2,1.600000024E0,1.679999924E1
7.651522826E1,6.868074333E1,2.766127333E1,1.331223054E2,7.885544300E-1,9.961000061E1,1.600000024E0,1.610000038E1
7.751522826E1,6.868074167E1,2.766128667E1,1.328223249E2,8.101727962E-1,1.029499969E2,1.600000024E0,1.539999962E1
